ID,SENTENCE,SAME_QS_WORD,SAME_DEPENDENCY,DEPENDENCY_PATH,SENTENCE_PATTERN,SENTENCE_STRUCTURE_WORD,SENTENCE_STRUCTURE_WORD_POS,QUESTION_WORD,QUESTION_WORD_POS,SENTENCE_NUMMOD,SENTENCE_OBL_TMOD,SENTENCE_ADVCL,SENTENCE_OBL_AGENT,SENTENCE_CONJ,SENTENCE_OBL,SENTENCE_CC,SENTENCE_OBL_NPMOD,SENTENCE_CC_PRECONJ,SENTENCE_COP,SENTENCE_NMOD_POSSESS,SENTENCE_PUNCT,SENTENCE_XCOMP,SENTENCE_EXPL,SENTENCE_AUX,SENTENCE_OBJ,SENTENCE_ACL,SENTENCE_CCOMP,SENTENCE_ACL_RELCL,SENTENCE_DEP,SENTENCE_APPOS,SENTENCE_NSUBJ_PASS,SENTENCE_FLAT,SENTENCE_CASE,SENTENCE_AMOD,SENTENCE_ROOT,SENTENCE_NMOD_NPMOD,SENTENCE_AUX_PASS,SENTENCE_MARK,SENTENCE_ADVCL_RELCL,SENTENCE_ADVMOD,SENTENCE_NMOD,SENTENCE_IOBJ,SENTENCE_DET_PREDET,SENTENCE_FIXED,SENTENCE_DET,SENTENCE_COMPOUND,SENTENCE_NSUBJ,QUESTION_NUMMOD,QUESTION_OBL_TMOD,QUESTION_ADVCL,QUESTION_OBL_AGENT,QUESTION_CONJ,QUESTION_OBL,QUESTION_CC,QUESTION_OBL_NPMOD,QUESTION_CC_PRECONJ,QUESTION_COP,QUESTION_NMOD_POSSESS,QUESTION_PUNCT,QUESTION_XCOMP,QUESTION_EXPL,QUESTION_AUX,QUESTION_OBJ,QUESTION_ACL,QUESTION_CCOMP,QUESTION_ACL_RELCL,QUESTION_DEP,QUESTION_APPOS,QUESTION_NSUBJ_PASS,QUESTION_FLAT,QUESTION_CASE,QUESTION_AMOD,QUESTION_ROOT,QUESTION_NMOD_NPMOD,QUESTION_AUX_PASS,QUESTION_MARK,QUESTION_ADVCL_RELCL,QUESTION_ADVMOD,QUESTION_NMOD,QUESTION_IOBJ,QUESTION_DET_PREDET,QUESTION_FIXED,QUESTION_DET,QUESTION_COMPOUND,QUESTION_NSUBJ
1,Which companies are in the computer software industry?,False,True,[],疑问句,Which,WDT,companies,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2,Which telecommunications organizations are located in Belgium?,False,True,[],疑问句,Which,WDT,organizations,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,Give me the official websites of actors of the television show Charmed.,False,True,[],陈述句,VB,VB,websites,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
4,Give me the capitals of all U.S. states.,False,True,[],陈述句,VB,VB,capitals,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,What are the official languages of the Philippines?,False,True,[],疑问句,What,WP,languages,NNS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2
6,Who is the mayor of New York City?,False,True,[],疑问句,Who,WP,mayor,NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,Where did Abraham Lincoln die?,True,True,[],疑问句,Where,WRB,Where,WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
8,When was the Battle of Gettysburg?,True,True,[],疑问句,When,WRB,When,WRB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,Which countries have more than two official languages?,False,True,[],疑问句,Which,WDT,countries,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10,What is the area code of Berlin?,False,True,[],疑问句,What,WP,code,NN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
