ID,SENTENCE,SAME_DEPENDENCY,DEPENDENCY_PATH,SENTENCE_PATTERN,SENTENCE_STRUCTURE_WORD,SENTENCE_STRUCTURE_WORD_POS,QUESTION_WORD_POS,NUMMOD,OBL_TMOD,ADVCL,OBL_AGENT,CONJ,OBL,CC,OBL_NPMOD,CC_PRECONJ,COP,NMOD_POSSESS,PUNCT,XCOMP,EXPL,AUX,OBJ,ACL,CCOMP,ACL_RELCL,DEP,APPOS,NSUBJ_PASS,FLAT,CASE,AMOD,ROOT,NMOD_NPMOD,AUX_PASS,MARK,ADVCL_RELCL,ADVMOD,NMOD,IOBJ,DET_PREDET,FIXED,DET,COMPOUND,NSUBJ
1,Which companies are in the computer software industry?,1,,“…Œ æ‰,Which,WDT,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,Which telecommunications organizations are located in Belgium?,1,,“…Œ æ‰,Which,WDT,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,Give me the official websites of actors of the television show Charmed.,0,,≥¬ ˆæ‰,VB,VB,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
4,Give me the capitals of all U.S. states.,0,,≥¬ ˆæ‰,VB,VB,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,What are the official languages of the Philippines?,1,,“…Œ æ‰,What,WP,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
6,Who is the mayor of New York City?,1,,“…Œ æ‰,Who,WP,NN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,Where did Abraham Lincoln die?,0,,“…Œ æ‰,Where,WRB,WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,When was the Battle of Gettysburg?,0,,“…Œ æ‰,When,WRB,WRB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,Which countries have more than two official languages?,1,,“…Œ æ‰,Which,WDT,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,What is the area code of Berlin?,1,,“…Œ æ‰,What,WP,NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
11,Which classis does the Millepede belong to?,1,,“…Œ æ‰,Which,WDT,NN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,In which country is the Limerick Lake?,1,,“…Œ æ‰,which,WDT,NN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,What is the profession of Frank Herbert?,1,,“…Œ æ‰,What,WP,NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
14,Who is the owner of Universal Studios?,1,,“…Œ æ‰,Who,WP,NN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
15,Which state of the United States of America has the highest density?,0,"[""[det£∫<--]-->[nmod£∫-->]""]",“…Œ æ‰,Which,WDT,NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
16,Give me all cities in New Jersey with more than 100000 inhabitants.,0,,≥¬ ˆæ‰,VB,VB,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,What is the currency of the Czech Republic?,1,,“…Œ æ‰,What,WP,NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
18,Which European countries are a constitutional monarchy?,1,,“…Œ æ‰,Which,WDT,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
19,How many monarchical countries are there in Europe?,0,"[""[advmod£∫<--]-->[amod£∫<--]""]",“…Œ æ‰,How,WRB,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Which countries in the European Union adopted the Euro?,1,,“…Œ æ‰,Which,WDT,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21,Which presidents of the United States had more than three children?,1,,“…Œ æ‰,Which,WDT,NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
